File,Key,Context,English,Afrikaans,Arabic,Catalan,"Chinese Simplified","Chinese Traditional",Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Norwegian,OwO,"Pirate English",Polish,Portuguese,"Portuguese, Brazilian",Romanian,Russian,"Serbian (Cyrillic)",Spanish,Swedish,Turkish,Ukrainian,Vietnamese
en-us.json,"""general.receiver"""," -> general.receiver","Receive functions","Receive functions","Receive functions","Receive functions",接收方式,接收功能,"Receive functions","Modtage funktioner","Ontvang functies","Receiver functions","Receive functions","Fonctions de réception",Empfangsfunktionen,"Receive functions","Receive functions","Receive functions","Fungsi diterima","Ricevi funzioni","Receive functions","Receive functions","Receive functions","weceive functions OwO","Receive functions, ye scurvy dog","Przyjmij funkcje","Receber funções","Receive functions","Receive functions","Функции приема","Receive functions","Funciones de recepción",Mottagarfunktioner,"Fonksiyonları al","Receive functions","Receive functions"
en-us.json,"""general.receiverTooltip"""," -> general.receiverTooltip","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions",切换OSC接收方式,"切換 OSC 接收功能","Toggle OSC receive functions","Slå OSC modtager funktioner til eller fra","OSC ontvangt functies inschakelen","Toggle OSC receiver functions","Toggle OSC receive functions","Activer les fonctions de réception OSC","OSC-Empfangsfunktionen umschalten","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions","Aktifkan fungsi menerima OSC","Attiva/disattiva Ricevi funzioni OSC","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions","toggwe OSC weceive functions UwU","Toggle OSC receive functions, aye","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions","Toggle OSC receive functions","Переключить функции приема OSC","Toggle OSC receive functions","Activar funciones de recepción de OSC","Slå På/Av OSC mottagarfunktioner","OSC fonksiyon almayı aç/kapa","Toggle OSC receive functions","Toggle OSC receive functions"
en-us.json,"""general.receiverPort"""," -> general.receiverPort","Receiver Port","Receiver Port","Receiver Port","Receiver Port",接收端口,接收通訊埠,"Receiver Port","Modtager Port","Ontvanger Poort","Receiver Port","Receiver Port","Port de réception",Empfangsport,"Receiver Port","Receiver Port","Receiver Port","Port Penerima","Porta Ricevitore","Receiver Port","Receiver Port","Receiver Port","Weceivew Powt >w<","Receiver's Berth","Port odbiornika","Receiver Port","Receiver Port","Receiver Port","Порт приёмника","Receiver Port","Puerto de recepción","Port För Mottagare","Veri Giriş Portu","Receiver Port","Receiver Port"
en-us.json,"""general.receiverPortTooltip"""," -> general.receiverPortTooltip","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat",接收OSC数据的端口（用于在VRChat内重新校准）,"接收 OSC 資料的通訊埠（用於在 VRChat 內重新校正）","Port we receive OSC data from (used to recalibrate from within VRChat","Port vi modtager OSC data fra (bruges til at kalibrere inden i VRChat)","Poort vanwaar OSC-data wordt ontvangen (voor het herkalibreren vanuit VRChat)","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port de réception des données depuis OSC (à utiliser pour la recalibration dans VRChat)","Port, von dem wir OSC-Daten empfangen (wird zur Neukalibrierung innerhalb von VRChat verwendet","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port yang kami terima dari Data OSC (digunakan untuk kalibrasi ulang dari dalam VRChat","La porta da cui riceviamo i dati OSC (utilizzati per ricalibrare dall'interno di VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Powt we weceive OSC data fwom (used to wecawibwate fwom within VRChat nya~","Port we be receivin' OSC data from (used to recalibrate from within th' VRChat)","Port, na którym odbieramy dane OSC (używany do ponownej kalibracji z VRChat","Porta de onde recebemos dados do OSC (utilizada para recalibrar dentro do VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Порт, с которого мы получаем данные OSC (используется для перекалибровки в VRChat","Port we receive OSC data from (used to recalibrate from within VRChat","Puerto del cual recibir datos de OSC (se usa para recalibrar dentro de VRChat)","Port för OSC data sändare (Används vid kalibrering inne ifrån VRC: hat","OSC verilerini çekeceğimiz port (VRChat içerisinden kalibrasyon yapmak için kullanılacak","Port we receive OSC data from (used to recalibrate from within VRChat","Port we receive OSC data from (used to recalibrate from within VRChat"
en-us.json,"""general.recalibrate"""," -> general.recalibrate","Recalibrate Address","Recalibrate Address","Recalibrate Address","Recalibrate Address",重校准地址,重新校正位址,"Recalibrate Address","Genkalibrerings adresse","Herkalibratie adres","Recalibrate Address","Recalibrate Address","Adresse de recalibration","Neukalibrierung Adresse","Recalibrate Address","Recalibrate Address","Recalibrate Address","Kalibarsi ulang Address","Ricalibra Indirizzo","Recalibrate Address","Recalibrate Address","Recalibrate Address","Wecawibwate Addwess :3","Recalibrate Yer Bearings","Skalibruj ponownie adres","Recalibrate Address","Recalibrate Address","Recalibrate Address","Перекалибровать адрес","Recalibrate Address","Dirección de recalibración",Kalibreringsadress,"Kalibrasyon Adresi","Recalibrate Address","Recalibrate Address"
en-us.json,"""general.recalibrateTooltip"""," -> general.recalibrateTooltip","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC address we use for recalibrating",用于重新校准的OSC地址,"用於重新校正的 OSC 位址","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC-adres die we gebruiken voor het herkalibreren","OSC address we use for recalibration","OSC address we use for recalibrating","Adresse OSC à utiliser pour la recalibration","OSC-Adresse, die wir zur Neukalibrierung verwenden","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC address we use for recalibrating","Alamat OSC kami gunakan untuk kalibrasi ulang","Indirizzo OSC che utilizziamo per ricalibrare","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC addwess we use fow wecawibwating OwO","OSC bearings we use fer recalibratin'","Adres OSC używany do re-kalibracji","OSC address we use for recalibrating","OSC address we use for recalibrating","OSC address we use for recalibrating","Адрес OSC, который мы используем для перекалибровки","OSC address we use for recalibrating","Dirección OSC usada para recalibrar","OSC Adress för kalibrering","Kalibrasyon için kullanacağımız OSC adresi","OSC address we use for recalibrating","OSC address we use for recalibrating"
en-us.json,"""general.uvcCameraSettings"""," -> general.uvcCameraSettings","UVC Camera Settings","UVC Camera Settings","UVC Camera Settings","UVC Camera Settings","USB UVC摄像头设定","UVC 攝影機設定","UVC Camera Settings","UVC Camera Settings","UVC Camera Instellingen","UVC Camera Settings","UVC Camera Settings","Paramètres de la Caméra UVC",UVC-Kameraeinstellungen,"UVC Camera Settings","UVC Camera Settings","UVC Camera Settings","Pengaturan Kamera UVC","Impostazioni Telecamera UVC","UVC Camera Settings","UVC Camera Settings","UVC Camera Settings","UVC Camewa Settings UwU","Spyglass Settings","Ustawienia kamery UVC","UVC Camera Settings","UVC Camera Settings","UVC Camera Settings","Настройки UVC-камеры","UVC Camera Settings","Ajustes de Cámara UVC","UVC Kamera Inställningar","UVC Kamera Ayarları","UVC Camera Settings","UVC Camera Settings"
en-us.json,"""general.useRedChannel"""," -> general.useRedChannel","Use Red Channel","Use Red Channel","Use Red Channel","Use Red Channel",使用红色通道,使用紅色通道,"Use Red Channel","Use Red Channel","Gebruik Rood Kanaal","Use Red Channel","Use Red Channel","Utiliser le canal Rouge","Roten Farbkanal verwenden","Use Red Channel","Use Red Channel","Use Red Channel","Gunakan Channel Merah","Usa Canale Rosso","Use Red Channel","Use Red Channel","Use Red Channel","Use Wed Channew >w<","Use th' Red Channel","Użyj Czerwonego Kanału","Use Red Channel","Use Red Channel","Use Red Channel","Использовать красный канал","Use Red Channel","Usar Canal Rojo","Använd Röd Kanal","Kırmızı Renk Kanalını Kullan","Use Red Channel","Use Red Channel"
en-us.json,"""general.useRedChannelTooltip"""," -> general.useRedChannelTooltip","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture",仅使用红色通道进行Omnicept捕获,"僅使用紅色通道進行 Omnicept 擷取","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Gebruikt alleen het rode kanaal","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Utiliser uniquement le canal rouge pour la capture Omnicept","Verwendet nur den roten Kanal für die Omnicept-Aufnahme","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Hanya menggunakan channel merah untuk Omnicept capture","Utilizza solo il canale rosso per la cattura Omnicept","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses onwy the wed channew fow Omnicept captuwe nya~","Uses only th' red channel fer Omnicept plunderin'","Używa tylko czerwonego kanału do przechwytywania Omnicept","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture","Использует только красный канал для захвата Omnicept","Uses only the red channel for Omnicept capture","Usar solo el canal rojo para capturar con Omnicept","Använd endast den röda kanalen för Omnicept-avläsning","Omnicept yakalama için sadece kırmızı renk kanalını kullanır","Uses only the red channel for Omnicept capture","Uses only the red channel for Omnicept capture"
en-us.json,"""general.xResolution"""," -> general.xResolution","X Resolution","X Resolution","X Resolution","X Resolution",X轴分辨率,"X 軸解析度","X Resolution","X Resolution","X Resolutie","X Resolution","X Resolution","Résolution X",X-Achsenauflösung,"X Resolution","X Resolution","X Resolution","X Resolusi","Risoluzione X","X Resolution","X Resolution","X Resolution","X Wesowution :3","X Marks th' Spot","Rozdzielczość X",,"X Resolution","X Resolution","Разрешение X","X Resolution","Resolución X","X Upplösning","X Çözünürlüğü","X Resolution","X Resolution"
en-us.json,"""general.xResolutionTooltip"""," -> general.xResolutionTooltip","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0",X轴捕获分辨率，默认为0,"X 軸擷取解析度，預設值 = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X opname resolutie. Standaard = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","Résolution de capture X. Par défaut = 0","X-Aufnahmeauflösung. Standard = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X rekaman resolusi. Default = 0","Risoluzione acquisizione X. Predefinito = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X captuwe wesowution. Defauwt = 0 OwO","X plunder resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","X capture resolution. Default = 0","Разрешение захвата X. По умолчанию = 0","X capture resolution. Default = 0","Resolución de captura eje X. Predetermiinado = 0","X avläsningsupplösning. Standard = 0","X yakalama çözünürlüğü. Varsayılan = 0","X capture resolution. Default = 0","X capture resolution. Default = 0"
en-us.json,"""general.yResolution"""," -> general.yResolution","Y Resolution","Y Resolution","Y Resolution","Y Resolution",Y轴分辨率,"Y 軸解析度","Y Resolution","Y Resolution","Y Resolutie","Y Resolution","Y Resolution","Résolution Y",Y-Achsenauflösung,"Y Resolution","Y Resolution","Y Resolution","Y Resolusi","Risoluzione Y","Y Resolution","Y Resolution","Y Resolution","Y Wesowution UwU","Y Marks th' Spot","Rozdzielczość Y","Y Resolution","Y Resolution","Y Resolution","Разрешение Y","Y Resolution","Resolución Y","Y Upplösning","Y Çözünürlüğü","Y Resolution","Y Resolution"
en-us.json,"""general.yResolutionTooltip"""," -> general.yResolutionTooltip","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0",Y轴捕获分辨率，默认为0,"Y 軸擷取解析度，預設值 = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y opname resolutie. Standaard = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Résolution de capture Y. Par défaut = 0","Y-Aufnahmeauflösung. Standard = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y rekaman resolusi. Default = 0","Risoluzione acquisizione Y. Predefinito = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y captuwe wesowution. Defauwt = 0 >w<","Y plunder resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0","Разрешение захвата Y. По умолчанию = 0","Y capture resolution. Default = 0","Resolución de captura eje Y. Predeterminado = 0","Y avläsningsupplösning. Standard = 0","Y yakalama çözünürlüğü. Varsayılan = 0","Y capture resolution. Default = 0","Y capture resolution. Default = 0"
en-us.json,"""general.framerate"""," -> general.framerate",Framerate,Framerate,Framerate,Framerate,帧数,畫面更新率,Framerate,Framerate,Framerate,Framerate,Framerate,"Images par seconde",Bildfrequenz,Framerate,Framerate,Framerate,Framerate,"Frequenza dei fotogrammi",Framerate,Framerate,Framerate,"Fwamewate nya~","Cannonball Rate",Framerate,Framerate,Framerate,Framerate,"Частота кадров",Framerate,"Tasa de Fotogramas",Bildhastighet,"Kare hızı",Framerate,Framerate
en-us.json,"""general.framerateTooltip"""," -> general.framerateTooltip","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0",捕获分辨率，默认为0,"擷取畫面更新率，預設值 = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Framerate van opname. Standaard = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Images par seconde de la capture. Par défaut = 0","Aufnahmebildrate. Standard = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Framerate rekaman. Default = 0","Acquisisci frequenza dei fotogrammi. Predefinito = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","captuwe fwamewate. defauwt = 0 :3","Plunder rate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Capture framerate. Default = 0","Частота захвата кадров. По умолчанию = 0","Capture framerate. Default = 0","Frecuencia de captura de fotogramas. Predeterminado = 0","Avläsnings bildhastighet. Standard = 0","Yakalama kare hızı. Varsayılan = 0","Capture framerate. Default = 0","Capture framerate. Default = 0"
en-us.json,"""general.language"""," -> general.language","Language Settings","Language Settings","Language Settings","Language Settings",语言设置,語言設定,"Language Settings","Language Settings","Taal Instellingen","Language Settings","Language Settings","Paramètres de la langue",Spracheinstellungen,"Language Settings","Language Settings","Language Settings","Seting Bahasa","Impostazioni Lingua","Language Settings","Language Settings","Language Settings","wanguage settings OwO","Pirate Speak Settings","Ustawienia języka","Language Settings","Language Settings","Language Settings","Настройки языка","Language Settings","Ajustes de Idioma",Språkinställningar,"Dil Ayarları","Language Settings","Language Settings"
en-us.json,"""general.languageInstructions"""," -> general.languageInstructions","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes",重启Babble以应用设定,"重新啟動 Babble App 以套用變更","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Herstart de Babble App om de veranderingen toe te passen","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Redémarrez l'application Babble pour voir vos changements","Starten Sie die Babble App neu, um Ihre Änderungen anzuzeigen","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Memulai ulang App Babble untuk melihat perubahan","Riavvia l'app Babble per vedere i tuoi cambiamenti","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","westawt the Babbwe app to see youw changes UwU","Relaunch th' Babble Ship to see yer changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Restart the Babble App to see your changes","Перезапустите приложение Babble, чтобы увидеть изменения","Restart the Babble App to see your changes","Reinicia la App Babble para ver los cambios","Starta om Babble Appen för att verkställa dina ändringar","Değişiklikleri görmek için Babble uygulamasını yeniden başlatın","Restart the Babble App to see your changes","Restart the Babble App to see your changes"
en-us.json,"""general.languageTooltip"""," -> general.languageTooltip","Change the language","Change the language","Change the language","Change the language",改变语言,變更語言,"Change the language","Change the language","Verander de taal","Change language","Change the language","Changer la langue","Sprache ändern","Change the language","Change the language","Change the language","Ganti Bahasa","Cambia la lingua","Change the language","Change the language","Change the language","change the wanguage >w<","Change th' pirate tongue","Zmień język","Change the language","Change the language","Change the language","Изменить язык","Change the language","Cambiar el idioma","Byt Språk","Dili değiştir","Change the language","Change the language"
en-us.json,"""error.oscPort"""," -> error.oscPort","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535",OSC端口值必须为0-65535的整型值,"OSC 通訊埠必須為 0-65535 之間的整數","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","Waarde van OSC poort moet een integer zijn 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","La valeur ""integer"" du port OSC doit être comprise entre 0-65535","Der OSC-Portwert muss eine Ganzzahl von 0 bis65535 sein","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","Nilai port OSC harus berisi interger 0-65535","La porta OSC deve essere un numero intero compreso tra 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC pawt walue mus bwe a intewer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535","Значение порта OSC должно быть целым числом в диапазоне от 0 до 65535","OSC port value must be an integer 0-65535","El valor del puerto OSC debe ser un número entero entre 0-65535","OSC portens värde måste vara en integer mellan 0-65535","OSC portu 0 ile 65535 arasında bir sayı olmalıdır","OSC port value must be an integer 0-65535","OSC port value must be an integer 0-65535"
en-us.json,"""error.oscValue"""," -> error.oscValue","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535",OSC端口值不能为空且必须为0-65535的整型值,"OSC 通訊埠不能為空且必須為 0-65535 之間的整數","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","Waarde van OSC poort kan niet leeg zijn en moet een integer zijn 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","La valeur ""integer"" du port OSC ne peut être vide et doit être comprise entre 0-65535","Der OSC-Portwert darf nicht leer sein und muss eine Ganzzahl von 0 bis 65535 sein","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","Nilai Port OSC tidak bisa kosong dan harus terdiri dari integer 0-65535","La porta OSC non può essere vuota e deve essere un numero intero compreso tra 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC pawt walue cawnot be ewmpy and mus bwe a intewer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535","Значение порта OSC не может быть пустым и должно быть целым числом в диапазоне от 0 до 65535","OSC port value cannot be empty and must be an integer 0-65535","El valor del puerto OSC no puede estar vacío y debe ser un número entero entre 0-65535","OSC portens värde kan inte vara tomt och måste vara en integer mellan 0-65535","OSC portu 0 ile 65535 arasında bir sayı olmalıdır ve boş bırakılamaz","OSC port value cannot be empty and must be an integer 0-65535","OSC port value cannot be empty and must be an integer 0-65535"
en-us.json,"""error.notAnInt"""," -> error.notAnInt","Not an Int","Not an Int","Not an Int","Not an Int",不是整型值,不是整數,"Not an Int","Not an Int","Niet een Int","Not an Integer","Not an Int","Pas une valeur Int","Keine Ganzzahl","Not an Int","Not an Int","Not an Int","Bukan Int","Non un numero intero","Not an Int","Not an Int","Not an Int","Uh oh! Not an Int UnU","Not an Int","Not an Int","Not an Int","Not an Int","Not an Int","Не целое число","Not an Int","No es un Entero","Inte ett Int värde","Tam sayı değil","Not an Int","Not an Int"
